
2024/08/03 (01:44:33) | ===> btop++ v.1.3.2
2024/08/03 (01:44:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/13 (16:42:09) | ===> btop++ v.1.4.0
2024/12/13 (16:42:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/13 (16:43:24) | ===> btop++ v.1.4.0
2024/12/13 (16:43:24) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/12/13 (16:47:25) | INFO: Logger set to INFO

2024/12/13 (16:47:36) | ===> btop++ v.1.4.0
2024/12/13 (16:47:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/13 (16:49:31) | ===> btop++ v.1.4.0
2024/12/13 (16:49:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/12 (15:19:16) | ===> btop++ v.1.4.0
2025/01/12 (15:19:16) | WARNING: Failed to set locale UTF-8 continuing anyway.
